,wave,wave_low,wave_hig,rp/rs,rp/rs_err_low,rp/rs_err_hih,u1,u1_err_low,u1_err_hih
421,4.672279903577245,4.671286680789274,4.673273126365215,0.1500996127352224,0.0030063660506411,0.0022923212905291,1.007281204269506,0.0011885775129878,0.0006182218808568
422,4.674266308780819,4.673273126365215,4.675259491196422,0.14859005804639,0.0030581654319055,0.00308102314069,1.0071563468525793,0.0009973090699066,0.0009294031108162
423,4.6762526331988905,4.675259491196422,4.677245775201359,0.1434755805834691,0.0022894534559011,0.0019783419130779,1.0069349617634982,0.0008386017733772,0.000523084636185
424,4.678238876749848,4.677245775201359,4.679231978298338,0.1425473708128637,0.0022136444067701,0.0021320620413513,1.0066449993308044,0.0009606151312491,0.0005536552668392
425,4.6802250393519325,4.679231978298338,4.681218100405527,0.1438515233350414,0.0020741146689788,0.0020202129836761,1.0063294310087192,0.0010896425954269,0.0006714894654595
426,4.682211120923232,4.681218100405527,4.683204141440937,0.1460325758655946,0.0016973497467148,0.0016536120754357,1.0073446082686948,0.0005142268742519,0.0004618905244082
427,4.684197121381686,4.683204141440937,4.685190101322435,0.1469424296671471,0.0027845164947709,0.0024645186406933,1.006704232015549,0.0013155068664463,0.0007714224959682
428,4.686183040645087,4.685190101322435,4.687175979967739,0.1458712435735929,0.0020731538280375,0.0020690952682063,1.0064147851105767,0.000875817578303,0.00066264825143
429,4.688168878631076,4.687175979967739,4.689161777294412,0.1438390749137629,0.0032550991306457,0.0023268044983274,1.0066333823016302,0.0012844999097993,0.0007571502033081
430,4.69015463525714,4.689161777294412,4.691147493219868,0.1485426592332033,0.0033246251099552,0.0028665969024856,1.0068741793600702,0.0012340342126277,0.0008559356811603
431,4.692140310440619,4.691147493219868,4.693133127661372,0.1458903827748777,0.0021252760997201,0.0018235773720218,1.006674204371487,0.0007775888310928,0.0006614416608234
432,4.694125904098703,4.693133127661372,4.695118680536035,0.1445945930846874,0.0021655726583117,0.0020954901143512,1.006501536674127,0.0007763727447451,0.0006799580581731
433,4.696111416148428,4.695118680536035,4.69710415176082,0.1437959530912106,0.0019648909533761,0.0019191467046223,1.0055689513411132,0.0014680006715204,0.000889510430849
434,4.69809684650668,4.69710415176082,4.69908954125254,0.1463583101977144,0.0018955516236894,0.0019117259786764,1.0073053815819315,0.0016641476730361,0.0005868615348545
