Cycle,PID,Star,J-magnitude,Planet,Stellar Radius (Solar Radii),Stellar Mass (Solar Mass),Stellar Teff (K),Distance (pc),Planet Mass (Earth masses),Planet Radius (Earth radii),Planet Teq (K),Planet Period (days),Planet semi-major axis (AU),Observation,Instrument/Mode,Filter,Science Mode,Sub-science theme,Seconds on target,Target multiplier*
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,2,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,3,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,4,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,5,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,6,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,7,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,8,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,9,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,10,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,11,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,12,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,13,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,14,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,15,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,16,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,17,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,18,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,19,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,20,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3181,TWA-27 ,12.995,TWA-27 b,0.278,0.0268,2600,64.5,1748,,1300,,42,21,NIRSpec/PRISM,CLEAR,Direct Imaging,Spectroscopic,1283.82,1
2,3337,14 Her,5.158,14 Her c,0.995819306,0.9692045229,5314.941944,17.9323,1597,,,15732.45889,11.924,1,NIRCam/Coronagraphic,F200W/F444W,Direct Imaging,Photometric,5133.36,1
2,3337,14 Her,5.158,14 Her c,0.995819306,0.9692045229,5314.941944,17.9323,1597,,,15732.45889,11.924,2,NIRCam/Coronagraphic,F200W/F444W,Direct Imaging,Photometric,5133.36,1
2,3514,COCONUTS-2 A,7.406,COCONUTS-2 A b,0.388,0.37,3406,10.8864,2543,12.4,434,,7506,2,MIRI/LRS,,Direct Imaging,Spectroscopic,3335.60,1
2,3522,51 Eri,4.744,51 Eri b,1.49,1.75,7295,29.7575,636,,700,11688,13.2,7,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,6248.38,1
2,3522,51 Eri,4.744,51 Eri b,1.49,1.75,7295,29.7575,636,,700,11688,13.2,8,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,6092.17,1
2,3647,GJ 504,4.392,GJ 504 b,1.26,1.22,6234,17.5299,1271.3,,510,,43.5,1,MIRI/MRS,LONG(C),Direct Imaging,Spectroscopic,3352.25,1
2,3647,GJ 504,4.392,GJ 504 b,1.26,1.22,6234,17.5299,1271.3,,510,,43.5,1,MIRI/MRS,MEDIUM(B),Direct Imaging,Spectroscopic,3352.25,1
2,3647,GJ 504,4.392,GJ 504 b,1.26,1.22,6234,17.5299,1271.3,,510,,43.5,1,MIRI/MRS,SHORT(A),Direct Imaging,Spectroscopic,3352.25,1
2,3647,GJ 504,4.392,GJ 504 b,1.26,1.22,6234,17.5299,1271.3,,510,,43.5,2,MIRI/MRS,LONG(C),Direct Imaging,Spectroscopic,3352.25,1
2,3647,GJ 504,4.392,GJ 504 b,1.26,1.22,6234,17.5299,1271.3,,510,,43.5,2,MIRI/MRS,MEDIUM(B),Direct Imaging,Spectroscopic,3352.25,1
2,3647,GJ 504,4.392,GJ 504 b,1.26,1.22,6234,17.5299,1271.3,,510,,43.5,2,MIRI/MRS,SHORT(A),Direct Imaging,Spectroscopic,3352.25,1
2,4014,MWC 758,7.221,MWC 758 c,2.01,1.5,7314,159.537,2542.627253,,500,,100,2,NIRCam/Coronagraphic,F200W/F444W,Direct Imaging,Photometric,1336.81,1
2,4014,MWC 758,7.221,MWC 758 c,2.01,1.5,7314,159.537,2542.627253,,500,,100,3,NIRCam/Coronagraphic,F200W/F444W,Direct Imaging,Photometric,1336.81,1
2,3077,TRAPPIST-1,11.354,TRAPPIST-1 c,0.12,0.09,2566,12.4298888,1.308,1.097,339.7,2.421937,0.0158,1,MIRI/Imaging,F1500W,Phase Curve,Photometric,138234.54,1
2,3077,TRAPPIST-1,11.354,TRAPPIST-1 c,0.12,0.09,2566,12.4298888,1.308,1.097,339.7,2.421937,0.0158,2,MIRI/Imaging,F1500W,Phase Curve,Photometric,74151.90,1
2,3077,TRAPPIST-1,11.354,TRAPPIST-1 b,0.12,0.09,2566,12.4298888,1.374,1.116,397.6,1.510826,0.01154,1,MIRI/Imaging,F1500W,Phase Curve,Photometric,138234.54,0
2,3077,TRAPPIST-1,11.354,TRAPPIST-1 b,0.12,0.09,2566,12.4298888,1.374,1.116,397.6,1.510826,0.01154,2,MIRI/Imaging,F1500W,Phase Curve,Photometric,74151.90,0
2,3231,LTT 9779,8.446,LTT 9779 b,0.95,0.77,5443,80.4373,29.32,4.72,1978,0.792052,0.01679,1,NIRSpec/G395H,F290LP,Phase Curve,Spectroscopic,74362.07,1
2,3263,TOI-1685,9.616,TOI-1685 b,0.46,0.45,3575,37.6153,3.03,1.468,1062,0.66913924,0.01138,1,NIRSpec/G395H,F290LP,Phase Curve,Spectroscopic,68327.44,1
2,3315,K2-22,12.726,K2-22 b,0.58,0.6,3879,243.836,0.5,0.71,2100,0.381078,0.0088,2,MIRI/LRS,,Transmission Spectroscopy,Spectroscopic,10830.62,1
2,3315,K2-22,12.726,K2-22 b,0.58,0.6,3879,243.836,0.5,0.71,2100,0.381078,0.0088,1,MIRI/LRS,,Transmission Spectroscopy,Spectroscopic,10830.62,1
