7238;Constructing High-Dynamic Range PSFs for the MIRI detector for accurately calibrating extended source photometry;Andras Gaspar;&nbsp;;&nbsp;;&nbsp;
7335;Forever Blowing Bubbles: What Powers a 24-kpc Ionized Gas Nebula Around a Normal Galaxy at z=6?;Francesco D&#39;Eugenio, Kevin Hainline;12;14.2;NIRSpec/IFU
7336;Commission a new R~2500 `IFU` on JWST: Calibrating second-order spectra of NIRCam/WFSS through Hubble Ultra Deep Field;Fengwu Sun;0;12.2;NIRCam/WFSS
7390;Probing Pair-Instability Supernovae through the Triply-lensed MACS0647-JD at z=10.17;Yunjing Wu, Zheng Cai and Fengwu Sun;12;26.2;NIRSpec/MOS
7404;How I wonder what you are -- do JWST&#39:s Little Red Dots twinkle? Testing broad-line and continuum variability on week, month, and six-month timescales;Rohan Naidu, John Chisholm and Jorryt Matthee;0;49.2;NIRCam/WFSS
7417;Brightest &amp: Farthest: Confirming intrinsically luminous z~10-12 Galaxies in COSMOS;Caitlin Casey, Hollis Akins and Maximilien Franco;12;47.6;NIRCam/Imaging,NIRSpec/MOS
7436;The Last Neutral Islands at the End of Reionization? Characterizing the Nature of the Longest Dark Gaps in IGM Transmission at z~5.3;Xiangyu Jin;12;18.4;NIRCam/WFSS
7488;Echoes of Silence: Absorption Line Spectroscopy of a Massive Quiescent Galaxy at z=7.3;Andrea Weibel;12;14.1;NIRSpec/MOS
7511;Sleeping Beauties: On the Search for Dormant Galaxies in the First Gyr;Alba Covelo-Paz, Pascal Oesch;12;19.1;NIRCam/Imaging,NIRSpec/MOS
7519;How do dark matter halos connect with supermassive black holes and their host galaxies?;Junya Arita;12;47.2;NIRCam/WFSS
7583;Unique H-alpha imaging of a z=3.95 starbursting protocluster;Shuowen Jin;6;7.2;NIRCam/Imaging
7605;Disclosing the nature of GN-z11 with MIRI rest-frame near-IR imaging;Luis Colina Robledo, Alejandro Crespo Gomez;3;29.2;MIRI/Imaging
7677;Pushing the Faintest Limits: Extremely Low-Luminosity and and Pop III-like Star-Forming Complexes in the Early Universe;Eros Vanzella, Matteo Messa;12;17.4;NIRSpec/IFU
7722;To catch an AGN: Ionizing Emission and AGN Activity of COLA1 in the Epoch of Reionization;Alberto Torralba, Jorryt Matthee;12;18.5;NIRSpec/MOS
7729;Unveiling Early Cosmic Enrichment: Direct Metallicities in z&gt:6 Galaxies from Deep JWST Spectroscopy;Guido Roberts-Borsani;12;67.2;NIRSpec/MOS
7814;MINERVA: Unlocking the Hidden Gems of the Distant Universe and Completing HST and JWST&rsquo:s Imaging Legacy with Medium Bands;Adam Muzzin, Danilo Marchesini and Katherine Suess;0;259.8;MIRI/Imaging,NIRCam/Imaging
7901;Improving JWST/NIRSpec Data Reduction: Addressing Correlated Noise and 1D Spectral Extraction Limitations;Debora Pelliccia;&nbsp;;&nbsp;;&nbsp;
8018;DIVER: Deep Insights into UV Spectroscopy at the Epoch of Reionization;Xiaojing Lin;0;19.0;NIRSpec/MOS
8047;Extremely massive galaxies in the early universe? Confirming the nature of the most model-breaking object by hunting for stellar absorption features;Bingjie Wang, Erica Nelson;12;19.6;NIRSpec/MOS
8051;MIRI Spectroscopic survey at z~10: Insights into the Nature of Primordial Galaxies;Javier Alvarez-Marquez, Luis Colina Robledo;6;128.9;MIRI/LRS
8358;Revealing the True Nature of Little Red Dots with Deep Continuum Observations of an IR-Bright LRD at z=3.1;Guillermo Barro, Pablo Perez-Gonzalez;12;19.9;MIRI/MRS,NIRSpec/IFU
8410;A Census of Galaxy Kinematics and Outflows to z ~ 7;Raymond Simons;0;65.3;NIRCam/Imaging,NIRSpec/MOS
8512;Dissecting ?Coalescence of Primeval Galaxies;Daichi Kashino;12;25.1;NIRSpec/IFU
8539;Probing the distant universe through GRB afterglow spectroscopy;Nial Tanvir;6;6.6;NIRSpec/FS
8544;Rest-Frame Optical Nebular Emission Lines at Cosmic Dawn: MIRI/LRS Follow-Up for JADES-GS-z14-0;Jakob Helton;0;62.6;MIRI/LRS
8559;SPAM: Star-formation from Photometry through the Addition of Medium-bands;Kelcey Davis, Rebecca Larson;0;62.8;NIRCam/Imaging
8709;Confronting Lyman-alpha Radiation Pressure Feedback in the JWST Era;Aaron Smith, Olof Nebrin;&nbsp;;&nbsp;;&nbsp;
8792;Unlocking the massive stars behind the most spectacular fireworks displays in the early Universe;Peter Senchyna;12;81.7;NIRSpec/MOS
8799;SN Requiem and its Encore: Leveraging the first strongly lensed SN-Ia siblings for precision cosmology;Sherry Suyu, Justin Pierel;12;2.5;NIRCam/Imaging
8915;In Search of Siblings: Spectroscopic Follow-Up of a Candidate Massive Quiescent Galaxy at z ~ 7;Andrea Weibel;12;4.2;NIRSpec/MOS
9016;Galaxy Formation at The Redshift Frontier: Ultra-Deep NIRSpec Observations of z&gt:13 galaxies;Daniel Stark;12;55.8;NIRSpec/MOS
9026;An extraordinary z=4.4 starburst as a detailed astrophysical laboratory to solve Cosmic Dawn mysteries;Ryan Sanders;12;9.8;MIRI/MRS
9165;Does Bursty Star Formation Explain the Astonishing Abundance of Bright z&gt:10 Galaxies?;Ryan Endsley, Daniel Stark;12;57.1;MIRI/Imaging,MIRI/LRS
